Date,High,Low,Open,Close,Volume,Adj Close
2010-06-29,25.0,17.540000915527344,19.0,23.88999938964844,18766300,23.88999938964844
2010-06-30,30.420000076293945,23.299999237060547,25.790000915527344,23.82999992370605,17187100,23.82999992370605
2010-07-01,25.920000076293945,20.270000457763672,25.0,21.959999084472656,8218800,21.959999084472656
2010-07-02,23.100000381469727,18.709999084472656,23.0,19.200000762939453,5139800,19.200000762939453
2010-07-06,20.0,15.829999923706056,20.0,16.110000610351562,6866900,16.110000610351562
2010-07-07,16.6299991607666,14.979999542236328,16.399999618530273,15.800000190734863,6921700,15.800000190734863
2010-07-08,17.520000457763672,15.56999969482422,16.139999389648438,17.459999084472656,7711400,17.459999084472656
2010-07-09,17.899999618530273,16.549999237060547,17.579999923706055,17.399999618530273,4050600,17.399999618530273
2010-07-12,18.06999969482422,17.0,17.950000762939453,17.049999237060547,2202500,17.049999237060547
2010-07-13,18.63999938964844,16.899999618530273,17.389999389648438,18.13999938964844,2680100,18.13999938964844
2010-07-14,20.149999618530277,17.760000228881836,17.940000534057617,19.84000015258789,4195200,19.84000015258789
2010-07-15,21.5,19.0,19.940000534057617,19.88999938964844,3739800,19.88999938964844
2010-07-16,21.299999237060547,20.049999237060547,20.700000762939453,20.63999938964844,2621300,20.63999938964844
2010-07-19,22.25,20.920000076293945,21.3700008392334,21.90999984741211,2486500,21.90999984741211
2010-07-20,21.850000381469727,20.049999237060547,21.850000381469727,20.299999237060547,1825300,20.299999237060547
2010-07-21,20.899999618530277,19.5,20.65999984741211,20.21999931335449,1252500,20.21999931335449
2010-07-22,21.25,20.3700008392334,20.5,21.0,957800,21.0
2010-07-23,21.559999465942383,21.059999465942383,21.190000534057617,21.290000915527344,653600,21.290000915527344
2010-07-26,21.5,20.299999237060547,21.5,20.950000762939453,922200,20.950000762939453
2010-07-27,21.18000030517578,20.26000022888184,20.90999984741211,20.549999237060547,619700,20.549999237060547
2010-07-28,20.899999618530277,20.51000022888184,20.549999237060547,20.71999931335449,467200,20.71999931335449
2010-07-29,20.8799991607666,20.0,20.770000457763672,20.350000381469727,616000,20.350000381469727
