x y
209.18144605964858 1009.7113594221147
205.9436960978206 1009.3381174384888
1199.8044920136244 1420.301998404841
682.9500874091128 300.58909571787024
1207.2269159419427 1411.5508913192436
1406.0068564488474 510.8837915374774
800.6831275440936 1201.3522622156427
1211.4579833201724 1399.144059923092
1404.8670644541883 511.67294740979935
1397.9707660989814 503.82595251480853
1404.3107998381154 506.45661854647017
188.8954758276103 1006.6011917467189
705.8052402138404 301.9451523631538
402.15658225963597 1302.2880311010506
1192.6485474001645 1404.197834986005
1406.5592885839915 501.6024256487821
1205.7395489544053 1412.665022572581
688.9617148178482 293.7126681624446
706.2552377972704 306.29205608721537
701.5042592473894 285.04415167006016
191.65484129662232 989.0933450691134
685.351265177092 287.96684608205015
1198.3237749533112 1405.2627943746588
1394.0549922514347 500.52843590761427
810.1279353112518 1208.7561456906683
698.122317455479 301.0680311968334
1204.4272780077035 1403.4291036723873
1397.8715835222222 521.4473102937307
318.815726385331 1485.826980263375
805.8256138034677 1213.5695768078965
792.1922579983369 1196.2637100040802
298.97447379968776 1513.33447599414
1401.8441755118374 500.5076909558153
684.556249599414 299.77198082425775
400.0051181220144 1294.3922529538147
1188.4333463106864 1393.6909397937065
190.86397514048159 1000.7132850632069
298.83806157338114 1498.5813859908196
791.5541534617254 1208.08311819759
401.94052321253406 1299.7902368608566
713.8406915218488 307.08846724597794
307.77932353801015 1497.8564193944712
300.0267727376455 1494.5543152910898
403.7184117553868 1304.2582399888995
196.77739974432828 1001.6804420419187
801.8872822676334 1198.060715779244
415.5442261872315 1308.9154105299797
201.3010490615801 996.3260349852429
414.16852343752225 1307.9171452503886
197.93127584223006 998.4809811723503
787.274429603261 1189.7610433294258
1401.2331221166835 500.2640215807372
402.58925616729266 1286.0418391454778
301.75065860426855 1497.0662438542477
412.29758792024217 1305.1113656797945
203.7406054227332 1004.0558428996384
401.7884112288951 1295.5673398713216
286.7360056515215 1495.9038906770163
799.3294632886167 1190.4509258218932
694.2814030455928 289.59546413525914
1382.955569775334 501.69621045542056
301.5881529400917 1504.467663341038
302.75188437967824 1500.8286676454259
409.84722432202153 1296.0858996034883
806.1991782155897 1196.6076620925348
1196.1899241424942 1397.3891642773106
799.0375395458091 1200.7144835831612
188.83142283000774 989.0232554930088
1207.6244833591495 1403.930614360153
296.8198234930977 1502.2912694496824
